title,artist,points,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Above The Clouds,Gang Starr ft. Inspectah Deck,8,1998,0.462,0.944,8,-2.938,1,0.315,0.312,1.49e-4,0.367,0.65,172.33
Ain’t No Nigga,JAY-Z ft. Foxy Brown,8,1996,0.738,0.601,9,-9.46,1,0.331,0.411,0,0.116,0.66,98.65
Ain’t No Thang,Outkast,8,1994,0.678,0.659,1,-5.146,0,0.356,0.0675,0,0.32,0.295,177.711
Backseat Freestyle,Kendrick Lamar,8,2012,0.546,0.651,1,-7.601,1,0.3,7.39e-4,0,0.235,0.646,77.878
Black Cop,KRS-One,8,1993,0.936,0.575,11,-10.545,0,0.242,0.0229,0.00332,0.0753,0.698,95.481
Cannon,Lil Wayne,8,2006,0.424,0.847,1,-7.777,0,0.474,0.198,0,0.237,0.607,79.882
Cherchez La Ghost,Ghostface Killah ft. Madam Majestic & U-God,8,2000,0.866,0.555,11,-7.782,1,0.045,0.0322,3.57e-6,0.0922,0.536,103.538
Da Rockwilder,Method Man and Redman,8,1999,0.612,0.659,6,-6.995,0,0.406,0.0137,0,0.417,0.393,99.137
Day 'N' Nite,Kid Cudi,8,2008,0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-6,0.114,0.799,137.996
Dirt Off Your Shoulder,JAY-Z,8,2003,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56e-6,0.339,0.648,163.969
Flava,Rich Gang,8,2014,0.765,0.687,2,-7.773,1,0.111,0.279,0,0.195,0.345,104.03
Flava In Ya Ear (Remix),Craig Mack,8,1994,0.52,0.847,9,-5.3,1,0.427,0.272,0,0.325,0.799,177.371
Freaky Tales,Too $hort,8,1987,0.848,0.253,11,-15.843,0,0.351,0.0138,0,0.106,0.393,77.717
Fuck You,The LOX,8,2000,0.622,0.795,0,-5.268,1,0.242,0.476,8.85e-6,0.413,0.618,149.926
Ghetto Manifesto,The Coup,8,2001,0.527,0.775,1,-5.214,1,0.271,0.0875,0,0.156,0.481,176.385
God’s Eye,Stogie T,8,2018,0.489,0.65,1,-8.093,1,0.332,0.0179,0,0.387,0.358,143.18
Hip Hop,Mos Def,8,1999,0.592,0.861,1,-5.177,1,0.249,0.024,0,0.492,0.794,90.238
How We Roll,Canibus,8,1998,0.443,0.681,10,-14.307,0,0.492,0.122,0,0.445,0.643,168.842
Humble,Kendrick Lamar,8,2017,0.908,0.621,1,-6.638,0,0.102,2.82e-4,5.39e-5,0.0958,0.421,150.011
I Heard,Young Fathers,8,2013,0.699,0.692,5,-3.988,0,0.0284,0.129,1.46e-4,0.337,0.327,115.878
I’ll Be Missing You,Puff Daddy ft. Faith Evans and 112,8,1997,0.862,0.479,7,-9.199,1,0.0646,0.0522,0.00126,0.589,0.925,109.878
Je Danse Le Mia,IAM,8,1994,0.833,0.785,10,-5.343,0,0.152,0.541,3.21e-6,0.173,0.578,103.004
Jonylah Forever,Lupe Fiasco,8,2013,0.408,0.888,1,-3.439,0,0.209,0.198,0,0.196,0.404,94.129
Last Dayz,Onyx,8,1995,0.625,0.621,10,-9.595,0,0.439,0.0193,3.04e-5,0.124,0.771,88.216
Liberation,OutKast,8,1998,0.66,0.63,11,-9.615,1,0.149,0.0841,5.72e-5,0.0819,0.591,157.594
Lucifer,JAY-Z,8,2003,0.551,0.927,6,-2.263,0,0.43,0.0508,0,0.0739,0.839,171.4
Marcy Me,JAY-Z,8,2017,0.518,0.678,10,-6.76,1,0.331,0.542,0,0.108,0.604,81.951
Murder,UGK,8,1996,0.866,0.605,2,-6.972,1,0.37,0.152,0,0.372,0.723,86.196
New World Water,Yasiin Bey (Mos Def),8,1999,0.794,0.806,11,-7.94,0,0.301,0.00646,0,0.166,0.668,100.145
Scenario,A Tribe Called Quest,8,1991,0.795,0.6,2,-14.004,1,0.341,0.112,1.71e-4,0.111,0.633,101.78
Self Destruction,Stop The Violence Movement,8,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slippin',DMX,8,1998,0.475,0.576,10,-8.061,0,0.397,0.0421,0,0.933,0.555,87.33
So Many Tears,2Pac,8,1995,0.899,0.6,1,-7.451,1,0.154,0.0184,1.68e-5,0.0725,0.586,92.717
Soweto,Pro Kid,8,2005,0.766,0.644,10,-6.646,0,0.245,0.0448,0,0.257,0.806,94.933
Super Bass,Nicki Minaj,8,2011,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-6,0.601,0.669,126.991
Takkies,YoungstaCPT,8,2016,0.526,0.626,2,-3.78,1,0.174,0.46,0.00201,0.114,0.116,120.025
The Black God,SpaceGhostPurrp,8,2012,0.714,0.639,6,-11.392,1,0.299,0.494,0.00625,0.16,0.262,145.981
The Bridge Is Over,Boogie Down Productions,8,1987,0.822,0.447,0,-9.836,1,0.448,0.0173,0,0.0643,0.556,179.837
The World Is Yours,Nas,8,1994,0.678,0.794,10,-6.186,0,0.14,0.274,1.68e-6,0.124,0.54,87.374
Ultralight Beam,Kanye West,8,2016,0.592,0.403,0,-8.768,0,0.414,0.62,0,0.54,0.391,105.169
Warm It Up Kane,Big Daddy Kane,8,1989,0.878,0.311,1,-17.401,1,0.324,0.0953,0,0.0808,0.486,117.759
We Can Get Gangsta,Project Pat,8,2001,0.898,0.915,7,-4.211,1,0.294,0.0134,0,0.0581,0.866,158.578
Woo Hah!! Got You All In Check,Busta Rhymes,8,1996,0.716,0.924,1,-5.433,1,0.324,0.0985,0,0.306,0.786,92.022
Beat Bop,Rammellzee K Rob,6,1983,0.813,0.45,9,-14.59,0,0.349,0.441,0,0.31,0.827,90.859
I Get Around,2Pac,6,1993,0.846,0.416,10,-13.767,0,0.118,0.156,9.34e-6,0.238,0.645,96.188
Party Life,JAY-Z,6,2007,0.832,0.864,5,-6.057,0,0.138,0.0615,0,0.145,0.771,135.86
Where I’m From,JAY-Z,6,1997,0.744,0.865,11,-4.661,0,0.35,0.0578,0,0.283,0.59,162.065
Act Too (Love of My Life),The Roots,6,1999,0.721,0.635,1,-8.397,1,0.38,0.0659,0,0.0734,0.396,93.217
America’s Most Blunted,Madvillain,6,2004,0.624,0.896,9,-7.915,1,0.451,0.349,0,0.969,0.652,95.97
Atrevido,Orishas,6,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonita Applebum,A Tribe Called Quest,6,1990,0.845,0.701,8,-5.111,0,0.209,0.0859,0.00232,0.494,0.647,91.851
Bout It Bout It,Master P,6,1996,0.484,0.69,6,-6.339,1,0.316,0.00757,0,0.181,0.657,80.862
Can’t Knock The Hustle,JAY-Z,6,1996,0.78,0.378,7,-11.481,1,0.464,0.197,0,0.0782,0.579,94.895
Cartoons & Cereal,Kendrick Lamar ft. Gunplay,6,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children’s Story,Slick Rick,6,1999,0.904,0.577,1,-7.293,1,0.132,0.125,0,0.115,0.7,102.691
Da Art Of Storytellin’,OutKast,6,1999,0.752,0.856,2,-5.833,1,0.233,0.108,0,0.745,0.403,103.741
Dr Aden,BOB,6,2011,0.614,0.714,0,-6.664,0,0.364,0.215,0,0.241,0.739,72.992
Get Money,Junior M.A.F.I.A. ft. The Notorious B.I.G.,6,1995,0.711,0.871,2,-4.32,1,0.294,0.398,1.69e-6,0.171,0.912,91.153
Get The Bozack,EPMD,6,1989,0.625,0.514,2,-12.918,1,0.401,0.473,0,0.322,0.636,101.919
God Lives Through,A Tribe Called Quest,6,1993,0.8,0.646,1,-10.556,0,0.267,0.0806,0,0.0979,0.52,95.105
Hahahaha jk?,Das Racist,6,2010,0.568,0.802,6,-8.167,1,0.425,0.399,0,0.322,0.451,155.966
Hard In Da Paint,Waka Flocka Flame,6,2009,0.611,0.66,11,-5.883,1,0.0839,0.198,0,0.365,0.583,71.544
I Gave You Power,Nas,6,1996,0.545,0.873,6,-8.075,1,0.436,0.346,0,0.552,0.74,170.035
Just A Moment,Nas ft. Quan,6,2005,0.674,0.588,7,-6.428,1,0.303,0.0817,0,0.148,0.219,82.025
Know The Ledge,Eric B & Rakim,6,1992,0.793,0.907,1,-7.461,1,0.182,0.0231,0.00738,0.0798,0.826,115.634
Learned from Texas,BIG K.R.I.T,6,2019,0.782,0.751,2,-4.995,1,0.12,0.0479,0,0.0615,0.572,128.079
